t,IPR_R_Obs,IPR_A_Obs
0,0.99839051645885,-0.0118420960161605
0.085,0.127441628850298,NaN
0.15,0.0480759944468136,0.642221251654387
0.25,0.00360812194924045,NaN
0.3,NaN,0.52246824246809
0.4,-0.0215696378969481,NaN
0.45,NaN,0.360091281632843
0.5,0.012339882894506,NaN
0.65,-0.00608569450201211,0.33182271021631
0.8,0.00435509450897275,NaN
0.85,NaN,0.293496012636662
1,-0.0207479190386503,0.253669363377604
1.5,NaN,0.280352516996422
2,NaN,0.185746598114945
2.5,NaN,0.238690484521222
3,NaN,0.202177824651358
