t,K27me1K36me0_Obs,K27me1K36me1_Obs,K27me0K36me3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,0.00137430714389868,0.00814567495704697,0.0275021262923427,0.25497433498988,0.423618405663335,0.424478624187662
3,NaN,0.00529244897848979,0.0378719546759973,NaN,NaN,NaN
3.5,0.000953696849772375,NaN,NaN,NaN,0.524213751353743,0.399040028515551
4,NaN,NaN,NaN,0.236112270667754,NaN,NaN
6,NaN,0.00923334929264522,0.0271227726814211,NaN,NaN,NaN
6.5,0.00104940906876634,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,0.172126031866539,0.373421244587766,0.410215866749228
9,NaN,NaN,0.0378856417592006,NaN,NaN,NaN
9.5,NaN,0.00889632225476887,NaN,NaN,NaN,NaN
10,0.000845700273192684,NaN,NaN,0.199277227810691,0.462864910197716,0.444221104482611
15,0.000776303706621343,0.00443056803240432,0.033478079111681,0.163112704641481,0.464722391804992,0.513224991184418
20,0.000878802988319904,0.00677501664166559,0.0316779456471275,NaN,0.668875539437373,0.449986081957133
25,0.000914337695321855,0.00536939558417835,0.0329843628334923,0.116037562053731,0.400770444327772,0.472247968479165
30,0.00112399280467067,0.00689277698504902,0.0364797889182618,0.121293487122448,NaN,NaN
35,0.000993421716384198,0.00491651309498611,NaN,NaN,0.469079934662845,0.503578280531084
40,NaN,NaN,0.0263167015798627,0.0833398653965386,0.358472915135682,0.507081063033357
45,0.00089418427097161,0.00663221746757625,0.0249918041524416,NaN,NaN,NaN
50,0.00114211458755541,0.0067786790818555,NaN,0.0735822033444321,0.415448819331794,0.462208995353456
60,0.000917299807430927,0.00621443708164754,NaN,0.0581992506248663,0.608694904024643,0.561619089548719
