t,Naive_Obs,Memory_Obs,Pathogen_Obs
0,9454.26071618211,-7030.02407140377,0.20310842850028
2,1120.9375859631,NaN,1.31019418602642
3,NaN,7270.26237371648,NaN
4,NaN,NaN,2.20908078898249
4.5,3393.01308711435,NaN,NaN
6,NaN,NaN,0.298826975303409
6.5,1628.19544015996,20719.1227039506,NaN
8.5,NaN,NaN,0.679323820758641
9.5,-2779.97748919409,NaN,NaN
10,-251.96222580768,11438.0202726389,-0.0259908233860878
15,-1039.48476362807,5757.60929128472,-0.736580226621463
20,-1852.76331563274,11195.6699269176,0.28827607495597
25,NaN,23818.1536643994,0.405271901791815
35,NaN,24424.3038048386,NaN
40,NaN,2130.78442105086,NaN
50,NaN,16303.5718688823,NaN
55,NaN,12121.4513068722,NaN
70,NaN,18175.8580800447,NaN
