observableId	observableName	observableFormula	observableTransformation	noiseFormula	noiseDistribution
CIS_Obs	CIS_Obs	CIS	lin	sd1_CIS_Obs	normal
CISnRNA1_Obs_1	CISnRNA1_Obs	CISnRNA1	lin	sd1_CISnRNA1_Obs	normal
CISnRNA1_Obs_2	CISnRNA1_Obs	CISnRNA1	lin	sd2_CISnRNA1_Obs	normal
CISnRNA1_Obs_3	CISnRNA1_Obs	CISnRNA1	lin	sd3_CISnRNA1_Obs	normal
CISnRNA3_Obs_1	CISnRNA3_Obs	CISnRNA3	lin	sd1_CISnRNA3_Obs	normal
CISnRNA3_Obs_2	CISnRNA3_Obs	CISnRNA3	lin	sd2_CISnRNA3_Obs	normal
CISnRNA3_Obs_3	CISnRNA3_Obs	CISnRNA3	lin	sd3_CISnRNA3_Obs	normal
CISnRNA4_Obs_1	CISnRNA4_Obs	CISnRNA4	lin	sd1_CISnRNA4_Obs	normal
CISnRNA4_Obs_2	CISnRNA4_Obs	CISnRNA4	lin	sd2_CISnRNA4_Obs	normal
CISnRNA4_Obs_3	CISnRNA4_Obs	CISnRNA4	lin	sd3_CISnRNA4_Obs	normal
CISnRNA4_Obs_4	CISnRNA4_Obs	CISnRNA4	lin	sd4_CISnRNA4_Obs	normal
CISnRNA4_Obs_5	CISnRNA4_Obs	CISnRNA4	lin	sd5_CISnRNA4_Obs	normal
CISnRNA4_Obs_6	CISnRNA4_Obs	CISnRNA4	lin	sd6_CISnRNA4_Obs	normal
CISnRNA4_Obs_7	CISnRNA4_Obs	CISnRNA4	lin	sd7_CISnRNA4_Obs	normal
CISnRNA5_Obs_1	CISnRNA5_Obs	CISnRNA5	lin	sd1_CISnRNA5_Obs	normal
CISnRNA5_Obs_2	CISnRNA5_Obs	CISnRNA5	lin	sd2_CISnRNA5_Obs	normal
CISnRNA5_Obs_3	CISnRNA5_Obs	CISnRNA5	lin	sd3_CISnRNA5_Obs	normal
CISnRNA5_Obs_4	CISnRNA5_Obs	CISnRNA5	lin	sd4_CISnRNA5_Obs	normal
CISnRNA5_Obs_5	CISnRNA5_Obs	CISnRNA5	lin	sd5_CISnRNA5_Obs	normal
EpoRJAK2_Obs_1	EpoRJAK2_Obs	EpoRJAK2	lin	sd1_EpoRJAK2_Obs	normal
EpoRJAK2_Obs_2	EpoRJAK2_Obs	EpoRJAK2	lin	sd2_EpoRJAK2_Obs	normal
EpoRJAK2_Obs_3	EpoRJAK2_Obs	EpoRJAK2	lin	sd3_EpoRJAK2_Obs	normal
EpoRJAK2_Obs_4	EpoRJAK2_Obs	EpoRJAK2	lin	sd4_EpoRJAK2_Obs	normal
EpoRJAK2_Obs_5	EpoRJAK2_Obs	EpoRJAK2	lin	sd5_EpoRJAK2_Obs	normal
EpoRJAK2_Obs_6	EpoRJAK2_Obs	EpoRJAK2	lin	sd6_EpoRJAK2_Obs	normal
EpoRJAK2_Obs_7	EpoRJAK2_Obs	EpoRJAK2	lin	sd7_EpoRJAK2_Obs	normal
EpoRJAK2_Obs_8	EpoRJAK2_Obs	EpoRJAK2	lin	sd8_EpoRJAK2_Obs	normal
EpoRpJAK2_Obs_1	EpoRpJAK2_Obs	EpoRpJAK2	lin	sd1_EpoRpJAK2_Obs	normal
EpoRpJAK2_Obs_2	EpoRpJAK2_Obs	EpoRpJAK2	lin	sd2_EpoRpJAK2_Obs	normal
EpoRpJAK2_Obs_3	EpoRpJAK2_Obs	EpoRpJAK2	lin	sd3_EpoRpJAK2_Obs	normal
EpoRpJAK2_Obs_4	EpoRpJAK2_Obs	EpoRpJAK2	lin	sd4_EpoRpJAK2_Obs	normal
SHP1Act_Obs_1	SHP1Act_Obs	SHP1Act	lin	sd1_SHP1Act_Obs	normal
SHP1Act_Obs_2	SHP1Act_Obs	SHP1Act	lin	sd2_SHP1Act_Obs	normal
SHP1Act_Obs_3	SHP1Act_Obs	SHP1Act	lin	sd3_SHP1Act_Obs	normal
SHP1Act_Obs_4	SHP1Act_Obs	SHP1Act	lin	sd4_SHP1Act_Obs	normal
SHP1Act_Obs_5	SHP1Act_Obs	SHP1Act	lin	sd5_SHP1Act_Obs	normal
SHP1Act_Obs_6	SHP1Act_Obs	SHP1Act	lin	sd6_SHP1Act_Obs	normal
SHP1Act_Obs_7	SHP1Act_Obs	SHP1Act	lin	sd7_SHP1Act_Obs	normal
SHP1Act_Obs_8	SHP1Act_Obs	SHP1Act	lin	sd8_SHP1Act_Obs	normal
SOCS3RNA_Obs	SOCS3RNA_Obs	SOCS3RNA	lin	sd1_SOCS3RNA_Obs	normal
SOCS3nRNA3_Obs_1	SOCS3nRNA3_Obs	SOCS3nRNA3	lin	sd1_SOCS3nRNA3_Obs	normal
SOCS3nRNA3_Obs_2	SOCS3nRNA3_Obs	SOCS3nRNA3	lin	sd2_SOCS3nRNA3_Obs	normal
SOCS3nRNA3_Obs_3	SOCS3nRNA3_Obs	SOCS3nRNA3	lin	sd3_SOCS3nRNA3_Obs	normal
SOCS3nRNA3_Obs_4	SOCS3nRNA3_Obs	SOCS3nRNA3	lin	sd4_SOCS3nRNA3_Obs	normal
SOCS3nRNA4_Obs	SOCS3nRNA4_Obs	SOCS3nRNA4	lin	sd1_SOCS3nRNA4_Obs	normal
STAT5_Obs_1	STAT5_Obs	STAT5	lin	sd1_STAT5_Obs	normal
STAT5_Obs_2	STAT5_Obs	STAT5	lin	sd2_STAT5_Obs	normal
STAT5_Obs_3	STAT5_Obs	STAT5	lin	sd3_STAT5_Obs	normal
STAT5_Obs_4	STAT5_Obs	STAT5	lin	sd4_STAT5_Obs	normal
STAT5_Obs_5	STAT5_Obs	STAT5	lin	sd5_STAT5_Obs	normal
STAT5_Obs_6	STAT5_Obs	STAT5	lin	sd6_STAT5_Obs	normal
STAT5_Obs_7	STAT5_Obs	STAT5	lin	sd7_STAT5_Obs	normal
STAT5_Obs_8	STAT5_Obs	STAT5	lin	sd8_STAT5_Obs	normal
npSTAT5_Obs_1	npSTAT5_Obs	npSTAT5	lin	sd1_npSTAT5_Obs	normal
npSTAT5_Obs_2	npSTAT5_Obs	npSTAT5	lin	sd2_npSTAT5_Obs	normal
npSTAT5_Obs_3	npSTAT5_Obs	npSTAT5	lin	sd3_npSTAT5_Obs	normal
npSTAT5_Obs_4	npSTAT5_Obs	npSTAT5	lin	sd4_npSTAT5_Obs	normal
npSTAT5_Obs_5	npSTAT5_Obs	npSTAT5	lin	sd5_npSTAT5_Obs	normal
npSTAT5_Obs_6	npSTAT5_Obs	npSTAT5	lin	sd6_npSTAT5_Obs	normal
npSTAT5_Obs_7	npSTAT5_Obs	npSTAT5	lin	sd7_npSTAT5_Obs	normal
npSTAT5_Obs_8	npSTAT5_Obs	npSTAT5	lin	sd8_npSTAT5_Obs	normal
p12EpoRpJAK2_Obs	p12EpoRpJAK2_Obs	p12EpoRpJAK2	lin	sd1_p12EpoRpJAK2_Obs	normal
