t,Compound_1_Obs,Compound_3_Obs,Compound_4_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs,Compound_12_Obs
0,4.70937886230106,75.1603305144251,1.18054582823845e-17,1.2306901542547,0.838636036677116,2.07869054790164,2.17898437781324,2.47796110053276,2.50516637157886
10,4.57905920027199,77.6485428807727,NaN,0.96378630227083,0.969784615487238,NaN,1.44561570208912,NaN,2.02498166992829
15,NaN,NaN,1.08441369056744e-17,NaN,NaN,1.94682782353716,NaN,2.05832583213134,NaN
25,4.12464843464412,75.6814614880945,1.13368098027005e-17,1.08010276783783,1.04434687026824,NaN,1.65185865383222,2.17393653921101,3.57568746912307
30,NaN,NaN,NaN,NaN,NaN,2.10027524342913,NaN,NaN,NaN
35,NaN,NaN,NaN,0.982578946204889,1.30172438618217,NaN,NaN,NaN,3.48617058875356
40,4.4117259046067,68.8509308979156,NaN,NaN,NaN,NaN,1.40923098353425,1.70887071538496,NaN
45,NaN,NaN,1.14269036066224e-17,NaN,NaN,2.36548161912525,NaN,NaN,NaN
50,NaN,NaN,NaN,1.115384540781,0.869659406694446,NaN,NaN,NaN,3.02415525718715
55,4.65938884270854,86.0125213129866,NaN,NaN,NaN,NaN,1.81692923277042,NaN,NaN
60,NaN,NaN,9.18276045348143e-18,NaN,NaN,NaN,NaN,1.54878343023601,NaN
65,NaN,NaN,NaN,NaN,NaN,2.03250132986981,NaN,NaN,3.34186413401482
70,NaN,76.956057265856,NaN,0.785096216769574,0.934962571662071,NaN,2.12707192689401,NaN,NaN
75,4.41436680261001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,1.02425612171845e-17,NaN,NaN,NaN,NaN,1.60938713722418,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.72561674120259
90,NaN,NaN,NaN,1.07643216384006,1.03783346752041,2.14181805788305,1.74651079932479,NaN,NaN
95,3.8603662098884,75.8386419907814,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,1.06877954863006e-17,NaN,NaN,NaN,NaN,2.01735298446323,NaN
