t,Compound_1_Obs,Compound_3_Obs,Compound_4_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs,Compound_12_Obs
0,3.36025713746599,75.0557824437694,0.000970721020341678,0.939620726687088,0.872314405710847,1.89346641429618,1.86445694600284,1.9148379108469,3.54198653654597
25,NaN,NaN,1.76419277001093,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,33.5985047880732,NaN,NaN,59.4574051336194,NaN,NaN,NaN,NaN
35,12.7911678435936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.92679569042937
45,NaN,NaN,2.22842253844921,NaN,NaN,NaN,8.27649189815453,NaN,NaN
50,NaN,NaN,NaN,23.1996305873231,NaN,NaN,NaN,1.59520977264646,NaN
60,NaN,28.9274400155831,NaN,NaN,NaN,3.61774491642366,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,51.5556723805146,NaN,NaN,NaN,NaN
70,NaN,NaN,1.5669121499003,NaN,NaN,NaN,NaN,NaN,NaN
75,11.9444994138388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.6886896993955
85,NaN,NaN,NaN,NaN,NaN,NaN,6.52426087082876,NaN,NaN
90,NaN,45.4272266834925,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4728183556723,NaN
100,11.3376994303934,37.9815582976583,0.984088571590295,16.1928367221095,27.1441912411858,2.79811085540817,NaN,NaN,11.4120669550037
150,8.62894374891811,38.1198539508028,0.735547047110201,8.55032658825886,15.11858652347,NaN,6.02117860244428,1.78859213293026,9.6571066430659
200,5.76492403554079,58.4922613950222,0.295164849503018,4.14380118624659,4.88713511307637,3.11440822205759,9.76561910084177,1.44586067824252,6.45988648188225
250,5.64402540546091,62.7547899091882,0.199249016274099,1.31941422286727,3.3975570997021,4.96472904820702,7.79734604964623,2.22508949101223,NaN
300,3.23344604500794,68.876713524739,0.0448122369783851,NaN,2.22227591680507,3.42491071867146,8.7779847053269,NaN,3.0488663621513
350,NaN,69.1014102623511,0.0141170484043503,0.504626921698774,4.19299856539055,NaN,6.13111387337608,1.46098912334557,2.97613437690629
400,2.9262703085855,NaN,0.00519683066251902,NaN,NaN,3.81667650516556,NaN,1.94608058378171,2.16636458482264
450,3.39891593142583,70.1678902251826,NaN,0.64022335070859,2.12723032698459,NaN,4.44538872147742,NaN,NaN
500,NaN,NaN,NaN,0.52323445953388,NaN,3.63516608650027,NaN,1.88473115503039,2.11897962075406
550,3.36222383054793,68.2825017056028,NaN,NaN,NaN,NaN,3.69744527111094,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,3.02176956258001,NaN,NaN,1.96035918404817
650,3.58626473001649,NaN,NaN,0.857217176317545,NaN,NaN,2.92568352695713,2.14195503347459,NaN
700,NaN,NaN,NaN,NaN,NaN,3.65018885109647,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,3.21764711508352,1.81404123458374,NaN
800,NaN,NaN,NaN,1.07670433681832,NaN,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,3.82738612701202,NaN,NaN,NaN
950,NaN,NaN,NaN,1.49062264525766,NaN,NaN,NaN,NaN,NaN
1000,NaN,NaN,NaN,NaN,NaN,2.72207748759231,NaN,NaN,NaN
1500,NaN,NaN,NaN,NaN,NaN,2.36096444368778,NaN,NaN,NaN
