t,Compound_1_Obs,Compound_3_Obs,Compound_4_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs,Compound_12_Obs
0,3.37693991765681,65.728632494404,0.0858355787407871,1.48340647366452,1.23678468032872,1.99555703163886,2.00876733569525,2.12830368781387,3.62470083560066
25,16.9471072858692,NaN,19.3189043419114,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.8718828583227
40,NaN,48.8193098758503,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,19.2255764680785,11.3590221994006,NaN,NaN,NaN,NaN
50,16.2476582148292,NaN,NaN,NaN,NaN,NaN,6.2021146164374,NaN,NaN
55,NaN,NaN,25.6488149614642,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.64418450272537,9.42642780478897
65,NaN,NaN,NaN,NaN,NaN,2.35622412328873,NaN,NaN,NaN
80,14.8236939437286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,45.2492565878942,25.0792969386969,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,20.0443643781348,5.73189014700093,NaN,NaN,NaN,9.99200413362081
100,15.5700640047311,NaN,25.272650776572,NaN,NaN,NaN,7.41594574535617,1.22955239654192,12.7347134649844
150,9.0568553364073,70.039715386329,16.6233133385304,8.48748429530959,4.62305302933356,2.66318964141236,5.79800995796286,NaN,6.20995701426497
200,6.66247178217604,63.3024929222331,4.50210532099248,4.2951019902913,2.58432940270714,3.36311173738448,9.99986813645939,1.55662830231066,5.2541444904907
250,4.28006852897271,55.8274596115024,1.58652664928879,1.36737387262943,2.70174059430342,NaN,9.35449414346147,0.986743931477717,3.63987999377439
300,3.59122346966589,78.556826174692,NaN,1.09246686854289,2.54402216148068,4.07756866309372,NaN,NaN,3.13918645412242
350,NaN,77.932135898168,NaN,NaN,NaN,4.71126658229565,7.72097151009135,1.74807922858328,NaN
400,3.30049274297476,NaN,NaN,0.485154794953689,2.8766225145361,NaN,5.33281705950635,NaN,2.32399772390116
450,4.19500437162511,76.3368538601327,NaN,NaN,NaN,4.49115725864469,NaN,1.96182787444568,2.76518450810688
500,NaN,NaN,NaN,0.720135345093693,2.07244313904834,NaN,3.61475201260674,NaN,NaN
550,NaN,79.1213955136075,NaN,NaN,NaN,2.40835659618589,NaN,1.68476413005334,2.44349939615693
600,NaN,NaN,NaN,0.818964685717789,1.78896004448453,NaN,2.41936752290101,NaN,NaN
650,NaN,72.0192578153523,NaN,NaN,NaN,NaN,NaN,2.20891782165545,NaN
700,NaN,NaN,NaN,1.04154968444823,2.06031990372646,2.90024368554473,NaN,NaN,NaN
750,NaN,80.7421218096655,NaN,NaN,NaN,NaN,2.49938208088429,NaN,NaN
800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.93156200689604,NaN
850,NaN,NaN,NaN,0.874518055407927,2.91516653020383,2.16164470868837,NaN,NaN,NaN
900,NaN,NaN,NaN,NaN,NaN,NaN,3.29270174520023,NaN,NaN
950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.83456096110613,NaN
1000,NaN,NaN,NaN,NaN,NaN,3.78109598082837,NaN,NaN,NaN
1500,NaN,NaN,NaN,NaN,NaN,3.5611455888996,NaN,NaN,NaN
