t,Compound_1_Obs,Compound_3_Obs,Compound_4_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs,Compound_12_Obs
0,4.96392403122991,203.422597543572,1.17377732895865e-17,0.659619261812639,0.79827966471907,1.68838082485529,2.20442410408684,1.83078029267416,3.10735309012058
9,NaN,210.630908461258,NaN,NaN,NaN,NaN,NaN,1.63495763466818,NaN
10,NaN,NaN,8.43958022628257e-18,1.16152359998644,0.866556840450273,NaN,NaN,NaN,NaN
15,3.38230681315203,NaN,NaN,NaN,NaN,2.02871413448377,1.82798116100273,NaN,3.44168560522382
20,NaN,241.435967609806,1.1090796027359e-17,1.04347941809473,NaN,NaN,NaN,1.76291715175339,NaN
25,5.50025779499717,NaN,NaN,NaN,0.967168484676666,NaN,1.91715362506499,NaN,3.10357980041241
30,NaN,212.998231411862,9.79446687331782e-18,NaN,NaN,NaN,NaN,1.96150598341396,NaN
35,NaN,NaN,NaN,1.09652923912218,0.984262492443448,2.33836705514539,NaN,NaN,NaN
40,5.12400040322024,207.163382378515,NaN,NaN,NaN,NaN,2.47132225814192,2.39485906971394,2.56157871164133
45,NaN,NaN,1.03123918770392e-17,0.892111397294201,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,1.33290025879636,NaN,NaN,2.22707141760141,NaN
55,3.90049405056152,218.411434465929,NaN,NaN,NaN,2.29807072847647,2.29855362073475,NaN,NaN
60,NaN,NaN,1.17138731874124e-17,0.722597392025371,NaN,NaN,NaN,NaN,2.75278717269868
65,NaN,NaN,NaN,NaN,1.2398052838108,NaN,NaN,2.0746996441121,NaN
70,NaN,218.141288581919,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,5.12232199633606,NaN,7.78119332378924e-18,NaN,NaN,2.10107547340441,2.21145728924646,NaN,3.5700081902017
80,NaN,NaN,NaN,0.996429280615946,NaN,NaN,NaN,2.01226126288142,NaN
85,NaN,NaN,NaN,NaN,1.08726257905114,NaN,NaN,NaN,NaN
95,3.89171822954771,NaN,NaN,NaN,NaN,NaN,1.65149981577604,NaN,NaN
100,NaN,NaN,NaN,NaN,NaN,2.23670751405016,NaN,NaN,3.70361535880551
