t,IR_Obs,IRins_Obs,IRp_Obs,IRi_Obs,IRS_Obs
0,11.1824031324411,0.0425685091120949,2.20087197229795e-09,0.0561072258159284,9.32027555261911
1.5,0.0801975579967568,NaN,NaN,NaN,4.00874708784211
2.5,NaN,7.69861339113441,NaN,NaN,NaN
3,0.120529497968995,NaN,6.72073713609999e-07,NaN,NaN
3.5,NaN,NaN,NaN,1.88647466272477,6.46472490782468
4.5,0.20105386701974,NaN,NaN,NaN,NaN
5,NaN,6.40228934611172,NaN,NaN,NaN
5.5,NaN,NaN,3.67943404960044e-07,NaN,5.73947106110098
6.5,0.104126029996631,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,1.21183099654945,6.86419800022585
8,NaN,11.9135759495524,NaN,NaN,NaN
8.5,0.0772965211207298,NaN,4.51283854383231e-07,NaN,NaN
10,0.417830851877697,6.23874234259639,1.47913401568906e-07,3.63279019058389,8.22211803649943
15,0.112101407088953,3.94369642584377,2.65879155882213e-07,3.03222282143213,13.5323705222866
20,0.0829419344021016,5.84034547366523,3.15827107300891e-07,4.85094903048586,5.25610551888862
25,0.057509052704455,10.1441034920189,1.55098066455566e-07,2.41252722027645,6.9556483301472
30,NaN,2.63518417964865,NaN,4.98300279678621,12.9155745249641
35,NaN,7.09428162909114,2.14042483295613e-07,NaN,NaN
40,NaN,4.54337259773579,2.19319333513036e-07,3.26360166379376,NaN
45,NaN,NaN,1.43522812550182e-07,NaN,NaN
50,NaN,5.84674592357499,NaN,4.22368602175406,NaN
55,NaN,NaN,2.96523041952537e-07,NaN,NaN
60,NaN,NaN,NaN,8.10989001454335,NaN
70,NaN,NaN,NaN,6.55809288877024,NaN
