t,Compound_1_Obs,Compound_2_Obs
0,2477.1281462142,1905.52959429724
40,NaN,12.6346651889099
50,8922.94083040857,NaN
75,NaN,16.1800321106995
100,1702.09705249179,31.2404999568827
150,914.605134759304,24.0188157386621
200,1640.3012926419,34.3911916975088
250,NaN,121.723111841632
300,773.972980918727,44.8239618004105
350,2194.75270134884,NaN
400,NaN,122.034073069376
450,1537.15057960448,82.8419695923706
550,3726.7895471972,32.5923727336449
650,1379.0192953695,105.623975079664
750,4135.64201555508,44.5710169023695
900,772.787406202697,45.5182726158582
1000,3724.0457800905,NaN
