t,Compound_3_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs
0,1.88198550370789,70.7080778891726,-2.38638410952261,-0.153192448058869,80.3719235835019,73.361156629837,-1.49427044806065,1.79681625089701
3.5,1.41099117177901,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,85.054453380355,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.95162178910805
6.5,NaN,NaN,39.6994353709353,-0.385559210873528,NaN,NaN,NaN,NaN
7.5,1.88902947180097,NaN,NaN,NaN,NaN,48.7295274146842,40.2220965518984,NaN
8,NaN,NaN,NaN,NaN,43.9342311305932,NaN,NaN,NaN
10,2.23736850996179,93.1440651769667,NaN,NaN,NaN,NaN,NaN,14.6755121943657
15,2.91318710430932,NaN,42.5684319346466,8.44820519193552,41.9511790006744,25.5524993155934,41.3597201923245,NaN
20,2.53583433748105,88.3417428022935,39.2498590513842,11.0915493334387,NaN,NaN,NaN,22.5849549454663
25,2.18452240131542,95.2760603700796,NaN,14.6781707146602,35.0406122841073,55.8241588716157,41.4342514214891,24.2855728658484
30,2.14030117441142,110.823455628833,31.306953833365,NaN,NaN,50.3256791421853,36.3203446950785,NaN
35,2.6211342670195,NaN,30.736355449987,14.285399495295,48.8399221720054,NaN,NaN,23.4399497029608
40,NaN,94.0026434826245,NaN,NaN,NaN,61.378899748608,31.8312425470849,20.5794993015923
45,2.75713515936152,NaN,20.9085766686444,14.8379911582413,61.6915057322712,NaN,NaN,NaN
50,2.53623399253587,90.1826759978517,NaN,NaN,NaN,61.5920713285637,36.1852676281181,21.8268521515151
55,NaN,NaN,22.1602880113474,11.1692493442536,47.5279830526582,NaN,NaN,NaN
60,2.97266487846974,103.737191481591,NaN,NaN,NaN,57.782116270697,NaN,16.5950922890654
65,NaN,NaN,NaN,NaN,78.7899644062487,NaN,22.9013232108354,NaN
70,NaN,95.9512771296063,15.4965836316829,8.25526521488743,NaN,NaN,NaN,NaN
75,2.19525710684859,NaN,NaN,NaN,NaN,80.8669832453173,19.6317238428609,8.79544798183445
80,NaN,NaN,NaN,NaN,73.7336140133472,NaN,NaN,NaN
85,NaN,128.630720412722,14.3298030594115,5.91016961698268,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,75.2362437325228,NaN,8.46034928547113
95,NaN,NaN,NaN,NaN,70.290493639085,NaN,12.5184821887232,NaN
100,NaN,87.0173681677452,10.2859198087663,7.36455011565603,72.1583411619309,75.652340903923,10.873891309549,8.63876022851305
150,NaN,NaN,6.26524057673134,3.0147109652746,84.0488705650463,83.6239323593899,8.64761210951807,2.66594284223058
200,NaN,NaN,NaN,NaN,85.5498010517437,75.6567542497992,6.95458813438667,NaN
