t,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs,Compound_6_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs
0,2.72558768879438,2.92513012976118,29.8210617471649,0.0861286953741016,92.6349817985549,86.6085121045359,0.557916360935427,-0.718150589087947
6,NaN,1.35645419687789,31.1971014248392,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,55.6655062242814,NaN
7,NaN,NaN,NaN,NaN,NaN,16.0946252974368,NaN,NaN
7.5,NaN,NaN,NaN,66.5096243816555,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,23.501495624534,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.5044960102654
10,1.03636517788828,1.8901671052595,31.2712880316455,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,67.2985585188983,10.3992219578008,7.99322664628354,71.1187615879392,NaN
20,2.07822780858432,2.04437382999859,48.9326120004827,NaN,NaN,29.0960309030929,73.1581490168362,35.3230729983056
25,NaN,2.66274246457796,54.181799718103,58.8821896666694,14.9393289882273,NaN,NaN,37.5716123435374
30,NaN,2.04457852903275,52.2162455292042,NaN,NaN,25.9207779216079,57.6018563949177,NaN
35,1.50574327198378,NaN,NaN,43.950515658702,36.0182485761805,NaN,53.9042859892784,40.4721577743338
40,NaN,2.21456598347797,49.1525103242013,43.518658669368,NaN,33.3468721230347,NaN,NaN
45,3.96389748518874,NaN,NaN,NaN,31.4075731245941,46.6951498551602,54.0714849803152,NaN
50,NaN,2.3795651997295,52.2331801396234,NaN,NaN,NaN,NaN,25.8801878496038
55,NaN,NaN,NaN,31.445154765914,48.2258060644701,43.2360073886275,40.1355381779929,NaN
60,6.6960061877677,2.43628819822786,42.4175567394213,NaN,NaN,NaN,NaN,24.4146580406674
65,NaN,NaN,NaN,32.8870614687409,NaN,NaN,44.0212534518622,NaN
70,NaN,2.71790548331493,NaN,NaN,52.3775515325978,74.028294692591,NaN,NaN
75,7.4754796632489,NaN,42.1629492370143,NaN,NaN,NaN,NaN,18.9170292508952
80,NaN,NaN,NaN,17.024962062579,NaN,65.6080758078744,33.7092542925129,NaN
85,NaN,1.86555085349425,NaN,NaN,50.1465348439702,NaN,NaN,NaN
90,NaN,NaN,31.7929327290913,NaN,NaN,NaN,NaN,13.2706718150076
95,12.6464720722521,NaN,NaN,NaN,NaN,NaN,21.0162723754487,NaN
100,13.8791663993892,2.10338764483158,38.724001719696,18.8250000649515,64.3376520209535,68.4596071234439,26.378707093197,12.3691702659004
150,16.4142992679983,NaN,35.8091003791931,11.7018300848467,74.3464677475012,74.1830575111791,18.1442105282416,9.83062384660027
200,14.6662927387481,NaN,NaN,NaN,77.2774311269513,NaN,NaN,9.40660036763007
