t,Compound_1_Obs,Compound_3_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_12_Obs
0,2.5050312404423,2.32592856324557,29.5957158045712,0.0374590970674042,0.0326155322132674,0.0204834821709618
9,NaN,2.49183434358679,NaN,NaN,NaN,NaN
10,NaN,NaN,27.5500827241951,0.357760130957466,NaN,NaN
15,2.13908402790718,NaN,NaN,NaN,0.0536766325551884,0.0211473045525259
20,NaN,2.24710591090045,NaN,NaN,NaN,NaN
25,2.98117264024885,1.72114477261685,31.5160657071566,0.696242163356126,NaN,NaN
30,NaN,NaN,NaN,NaN,0.219363049726115,NaN
35,NaN,2.6754949436527,28.7137531229654,0.638718209211649,NaN,0.0269261585078285
40,2.62704238638934,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,0.258474118735596,NaN
50,NaN,2.53583597794917,29.5422052378829,0.464484943705459,NaN,NaN
55,2.50758792179954,NaN,NaN,NaN,NaN,0.0211673005549369
60,NaN,1.6415032461753,NaN,NaN,0.227850001170022,NaN
65,NaN,NaN,27.9491300780822,0.374631903090078,NaN,NaN
75,2.20784425210738,2.79298058389888,NaN,NaN,NaN,0.0243290635491554
80,NaN,NaN,NaN,0.29972298437673,0.183929973950755,NaN
85,NaN,NaN,24.2494303620733,NaN,NaN,NaN
90,NaN,2.81361692640419,NaN,NaN,NaN,NaN
95,2.71354806620716,NaN,NaN,NaN,NaN,0.0250177068920296
100,2.64436969722169,2.3698949223809,33.4931464923205,0.295395806122385,0.134460616502286,0.0262742750942043
150,2.75301138959865,2.07624884500664,29.3661427359886,0.284687247474351,0.0796195511328234,0.0240316745566451
200,2.0894056328889,NaN,33.0432110477103,0.152472083401622,0.0828062768647942,0.0197091724975521
250,NaN,NaN,28.6086314183735,NaN,0.10076432791208,0.0181525153361246
300,NaN,NaN,NaN,NaN,NaN,0.023294962467145
