t,Compound_1_Obs,Compound_3_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_12_Obs
0,2.37811235981182,2.58399028499434,37.2432017907845,7.90739436461152,2.18183850204764,0.0326373258142509
8,NaN,1.72712610242593,28.7387134517046,70.4063613937228,NaN,NaN
8.5,NaN,NaN,NaN,NaN,4.38493139025192,NaN
10,NaN,NaN,NaN,NaN,NaN,0.0576890724590474
15,2.66808508913839,2.05981856900117,43.104105393383,64.5093721319514,NaN,NaN
20,NaN,NaN,NaN,NaN,18.7138974457261,0.15407212036934
25,NaN,2.04579279114874,48.7373908224842,59.1048874104577,21.0348756372249,NaN
30,NaN,NaN,NaN,NaN,NaN,0.180354170428425
35,2.87561345879531,2.65626266516293,51.0112674133131,53.5791357566216,24.2017897122297,NaN
45,NaN,2.19849678808618,44.9411821241196,45.0530722080086,NaN,0.269901947438959
50,NaN,NaN,NaN,NaN,20.701292865394,NaN
55,2.3568625474816,2.44961120132279,38.4717695594648,35.3477021613052,NaN,NaN
60,NaN,NaN,NaN,NaN,16.0703094470502,0.249175195662538
65,NaN,NaN,NaN,23.7589055474213,NaN,NaN
70,NaN,2.77083918421205,50.8454020931863,NaN,NaN,NaN
75,2.79240978908752,NaN,NaN,NaN,14.2321742203547,0.245007788934403
80,NaN,NaN,NaN,20.2040788458701,NaN,NaN
85,NaN,2.78771177136961,43.0535429541828,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,0.199387218586957
95,2.7375063409111,NaN,NaN,16.4732870445791,10.3943553994618,NaN
100,2.57326553364741,2.14696213449768,46.4814068050274,19.5402898481162,7.61771744499346,0.144522748515792
150,2.78142983874765,2.74971807048742,31.42578252038,10.0246211956408,7.18970581394498,0.0691022712021834
200,3.13677366236191,NaN,NaN,NaN,NaN,NaN
250,2.88017858148997,NaN,NaN,NaN,NaN,NaN
300,2.55404621123082,NaN,NaN,NaN,NaN,NaN
