t,Compound_8_Obs,Compound_11_Obs
0,5.20301283523922,0.00500698895618228
8.5,5.90207532195044,NaN
9,NaN,0.27230844060656
15,5.70513598696538,NaN
20,NaN,0.968611812951897
25,5.46043981364959,NaN
30,NaN,1.47562237971094
35,5.45928686938149,NaN
40,NaN,1.39313993613393
45,5.9546845155963,NaN
50,NaN,1.13870451066293
60,4.74950766798669,NaN
65,NaN,1.32348480259604
75,5.22433942398237,NaN
80,NaN,0.803529444625185
90,5.83043436918332,NaN
100,6.12524031151722,0.894519838957761
150,5.91654201771336,0.706529819606068
200,NaN,0.658540642760952
