t,epo_level,Compound_1_Obs
13,2.5e-09,2.3527979300875
13,2.5e-09,2.57770001965858
13,2.5e-09,2.8054515108024
13,7.905e-09,2.34555513980783
13,7.905e-09,2.71180874549769
13,7.905e-09,2.8053709985365
13,1.25e-08,2.04830504453232
13,1.75e-08,2.39455937201316
13,1.75e-08,2.78983489988135
13,1.75e-08,2.91105075558179
13,2.5e-08,2.80699608528124
13,3.95e-08,2.24032364053905
13,7.9e-08,2.7322054442076
13,1.25e-07,2.44812102928487
13,1.25e-07,2.55759135446248
13,1.25e-07,2.76370475034775
13,1.7675e-07,2.69296278572106
13,1.7675e-07,2.79928140296067
13,1.7675e-07,3.19462864648112
13,2.5e-07,2.30352355421717
13,7.905e-07,2.06589398669364
13,7.905e-07,2.1738255754851
13,7.905e-07,2.36052654877835
13,2.5e-06,1.91435548614444
13,2.5e-06,2.31159203002636
13,2.5e-06,2.38315954026179
