t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs,Compound_12_Obs
0,2.69203985144054,2.07772950203789,2.71423918446896,29.4069931969363,-0.470005639659454,0.0712779464214978,94.3783996687362,89.3267023930441,0.48563369164635,1.25988396789896,-0.00174342506822715
15,NaN,NaN,NaN,38.0189481673797,NaN,NaN,18.5495177715625,NaN,NaN,NaN,NaN
20,2.68379330505207,NaN,2.38429929151593,NaN,60.7333525260194,NaN,NaN,27.7933764414603,66.758150653537,36.8419028083377,NaN
25,NaN,NaN,NaN,NaN,NaN,20.3234994516294,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,53.8691879521458,NaN,NaN,26.6696642134717,NaN,NaN,NaN,0.21887343206092
35,NaN,NaN,2.38331118301553,NaN,NaN,NaN,NaN,NaN,53.9297007139096,NaN,NaN
40,2.21771607725354,2.89741508459855,NaN,NaN,45.6428060357734,NaN,NaN,31.0237652739214,NaN,36.8328419855135,NaN
45,NaN,NaN,NaN,49.235594758317,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,19.820585060086,38.4968796203365,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.2901787117569,NaN,0.263609789773127
60,2.70635473034951,NaN,2.20511898587929,56.9675761367171,31.4579103252681,NaN,NaN,44.7435124346028,NaN,25.2060189158931,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,61.0345682277236,NaN,NaN,NaN,NaN
75,NaN,7.51658058940918,NaN,47.0906832423367,NaN,12.7639728991279,NaN,NaN,22.9793610835957,NaN,NaN
80,2.84482590586604,NaN,2.02977927452135,NaN,21.9090922059324,NaN,NaN,NaN,NaN,16.3139370349308,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,70.7817472453058,65.6738550447443,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.173572293418809
95,NaN,NaN,NaN,29.3945908520811,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,3.49666292123362,12.4677974307839,2.21327252566509,40.9410195527541,16.263976961025,8.08320803338329,60.4314049601178,69.5996819188508,23.4130022400084,15.270385243459,0.139069401977611
150,2.61850717423914,15.5543530061768,2.12359689871868,37.8808024112772,10.4633794709335,7.32692927181151,71.5820294053809,74.4132907053691,19.4004678674771,8.76040638026323,0.102563675893256
200,2.81827532950981,13.6390034930267,2.81764320560723,31.5630266514378,18.6569259196022,6.92277267516029,73.8578751251328,74.4648254373688,19.3401446125222,10.6317341861724,0.115959116060295
250,2.71678807683274,13.0308777587796,NaN,37.1165602059164,13.7476037139823,NaN,66.0065992464204,67.1277634523411,17.4635945374283,10.5466222891909,0.113610696067066
300,2.77616430700339,NaN,NaN,NaN,16.4685479794503,6.93937594821255,66.992461146488,NaN,19.1866925936426,12.1785611622519,0.104885728455301
350,NaN,11.0320256594642,NaN,NaN,11.7986020413492,7.39257600613811,NaN,70.6482192426243,19.1488905705448,NaN,NaN
400,NaN,9.70958133298883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0956552479992746
500,NaN,9.88383919883895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600,NaN,9.51721732222836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700,NaN,10.8327903421882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
