t,Compound_1_Obs,Compound_12_Obs
0,1.56889377630259,0.00140939513967029
20,1.12384555298373,NaN
25,NaN,0.00520714035609399
45,1.06212553425253,0.00512750788984913
70,0.625932013594182,NaN
75,NaN,0.00558520845088218
95,0.661640588608948,NaN
100,0.82004674537949,0.00461484022545017
150,0.603933462504634,0.00391395958035191
200,0.497405340249486,0.00404979129223529
250,0.569981564758705,0.00357927157112381
300,0.610654080971921,0.00372871994835482
350,0.659098366840943,0.00396055948036208
400,NaN,0.00281532613019805
450,0.375892200725481,NaN
