t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,4107020.37117243,89254251.6357154,84732606.7677487,22647165.9885035
2.5,37039405.4513525,NaN,NaN,19419153.7840882
3.5,NaN,132729302.605427,125899853.467486,NaN
5,NaN,NaN,NaN,23574408.1020342
5.5,32546934.6061032,NaN,NaN,NaN
6.5,NaN,72193428.0579019,NaN,NaN
7,NaN,NaN,137571161.398268,NaN
7.5,NaN,NaN,NaN,14652051.2615373
8.5,36845264.6761387,NaN,NaN,NaN
10,35996778.3154662,120659124.639367,83575660.6213394,12404655.0275082
15,48334549.5443964,150247792.322738,167772715.466611,15378291.8781507
20,35304691.4331102,188314961.027976,143085094.616093,16370730.9172691
25,NaN,173701757.234604,180188654.264438,106080600.895951
30,118307721.758859,179165470.078667,221918393.436855,NaN
35,NaN,223803218.876353,208503923.338081,NaN
40,NaN,239883192.818837,253537418.148758,NaN
50,NaN,276187025.343389,278273609.357507,NaN
60,NaN,305124131.643472,375347971.588203,NaN
70,NaN,347985909.740513,330651029.171541,NaN
