t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,857333.669795621,164559852.493606,53887021.1569157,24634474.2321965
3,NaN,187702779.612922,NaN,46488308.654423
3.5,1226033.5153258,NaN,97997434.9114676,NaN
5.5,NaN,260427765.125231,NaN,NaN
6,NaN,NaN,NaN,100119268.293034
7,1296680.83886743,NaN,NaN,NaN
7.5,NaN,NaN,198591786.311981,NaN
8.5,NaN,204507208.534682,NaN,NaN
9.5,NaN,NaN,NaN,100134267.567742
10,1365668.54690361,327993912.913109,219012492.816308,NaN
15,1284558.67577985,290192329.248582,310911862.280287,94351777.2220121
20,1122864.88254505,397775882.420747,310669859.174565,131062329.983165
25,1259026.11444786,486442740.258685,348070343.831838,127111822.045995
30,1549947.92478638,509835605.857822,NaN,133337351.65266
35,1569833.38863152,647982599.748343,364899605.84072,NaN
40,NaN,NaN,NaN,146560986.182723
45,1722106.04538715,565858474.564412,488001231.88188,157541614.66637
55,1614521.30403999,632626054.950612,496593619.522863,160193159.108738
65,1558939.17684201,578309242.17746,538428315.285262,144796036.847871
