timepoint,Glu_Obs,Compound_1_Obs
0,10.6896003652032,10.7267640543488
40,0.00930659420255542,NaN
80,0.0105617094310228,NaN
150,0.00998156318794237,NaN
200,0.00948338931238034,NaN
250,0.00877026009687183,NaN
300,0.00943585580010946,NaN
400,0.0101526990000884,9.86526023746165
450,0.00994173845373409,NaN
850,NaN,8.79858784550266
1500,NaN,8.58333527995177
2000,NaN,8.47559508481946
2500,NaN,9.39868130265927
3000,NaN,8.92264702181449
3500,NaN,8.62914539050404
4500,NaN,8.77320513433956
5500,NaN,7.65655417390639
7000,NaN,7.88208529519473
8500,NaN,6.62474162710956
