timepoint,Glu_Obs,Compound_1_Obs
0,10.2631789806299,8.71628477622007
200,9.82623305323625,NaN
350,9.18300478499661,NaN
450,NaN,10.0655694438208
550,8.45362363785788,NaN
750,8.35640908686416,NaN
900,NaN,11.0011894402925
1000,5.83726107227795,NaN
1500,1.93378922582564,10.171194608534
2000,0.336652163074444,10.1609849447894
2500,0.0520442092950444,8.77873937196
3000,0.0167304553679148,8.1155025594277
4000,0.0107506546835106,5.45998588866407
4500,NaN,5.25089943045146
6000,NaN,4.11335254807762
7000,NaN,3.40990447474256
8500,NaN,3.12789946093342
