timepoint,Glu_Obs,Compound_1_Obs
0,10.006392436809,9.34717792331855
35,0.00907255103577959,NaN
75,0.0107515474210571,NaN
100,0.0111250445623251,NaN
150,0.00964686150071221,NaN
200,0.00981563908745143,NaN
300,0.00878905927675241,NaN
350,0.00895062952122292,NaN
400,NaN,10.032683528666
450,0.00946222554759838,NaN
800,NaN,8.93250472466547
1000,NaN,10.2836720236378
1500,NaN,8.2027823927335
2000,NaN,9.45912837334106
3000,NaN,8.04993269556829
3500,NaN,8.31883474709299
4000,NaN,6.73545778552371
5000,NaN,7.79419168425704
6000,NaN,6.75911457158696
7000,NaN,6.07453715923822
8500,NaN,5.4198636044016
