timepoint,Glu_Obs,Compound_1_Obs
0,10.0076006446854,10.3251729219749
450,9.95952581685419,9.50793211811448
900,10.0339171157695,9.99006961298827
1500,8.07133858474129,10.3409954204266
2000,5.12473350781154,9.87079603108173
2500,3.28843038875583,6.96769405145297
3000,2.23672941194346,NaN
3500,NaN,4.65377081941349
4000,0.847609428409527,NaN
4500,0.513769451563064,2.60334729433789
5500,NaN,1.62592844597697
6000,0.154539279082783,NaN
7000,0.057837281273677,1.23025892017652
8500,0.0222213434690645,0.949859214617355
