timepoint,Glu_Obs,Compound_1_Obs
0,9.13877380204142,9.57054626077728
35,0.0108353001680806,NaN
70,0.0100651773900713,NaN
100,0.0101348485482772,NaN
150,0.00972530794159557,NaN
200,0.00994935063371052,NaN
250,0.00975586856716819,NaN
300,0.00932297175781999,NaN
400,0.0100672262147983,NaN
450,NaN,10.4097424613244
850,NaN,8.74780525546804
1500,NaN,10.6503568615952
2000,NaN,9.07303323457741
2500,NaN,8.72129095019858
3000,NaN,8.7259644959198
4000,NaN,7.74748840796345
4500,NaN,8.49174735803454
6000,NaN,7.38828400899439
7000,NaN,7.04295815192157
8500,NaN,6.18766820845783
