timepoint,Glu_Obs,Compound_1_Obs
0,9.65267606858734,11.2645612089547
40,0.0102985407374422,NaN
85,0.00930387661464032,NaN
150,0.0101524724207401,NaN
200,0.010408774205001,NaN
250,0.0114844193699772,NaN
300,0.00978524309609545,NaN
400,0.00972839418290132,8.80489538992754
850,NaN,8.51196317665829
1500,NaN,9.08523998675353
2000,NaN,9.60308745652045
2500,NaN,8.89584863627316
3000,NaN,7.8213739469295
3500,NaN,7.96440989346834
4000,NaN,7.90304709323376
5000,NaN,7.12936913997196
6000,NaN,6.75015230966812
7000,NaN,6.04987438911066
8500,NaN,6.28930994549418
