timepoint,Glu_Obs,Compound_1_Obs
0,10.0273696710992,11.0300423809404
40,0.00971486985057299,NaN
75,0.0105337251688448,NaN
100,0.00964253370561352,NaN
150,0.0103767178527484,NaN
200,0.0110394014536359,NaN
300,0.00970701147468017,NaN
350,0.0105525111237459,NaN
450,0.0109725884626572,9.60030755355838
900,NaN,10.2335620859881
1500,NaN,9.65763943372962
2000,NaN,8.30365397281327
2500,NaN,9.62060407700893
3000,NaN,9.55532167617596
4000,NaN,9.30856915586371
4500,NaN,8.65036998831857
6000,NaN,7.75116371505195
7000,NaN,7.2974582635138
8500,NaN,6.95146084314381
