timepoint,Glu_Obs,Compound_1_Obs
0,9.24897534361501,9.5758719726143
300,9.19569891293844,NaN
450,NaN,9.42940014991105
650,9.24787758003826,NaN
900,NaN,11.1863509699752
1000,8.86950622002916,NaN
1500,9.18438156721453,9.24992384725084
2000,9.12976505150055,10.6467122575631
2500,8.13756839772385,10.2325082690142
3000,6.68170753675967,7.84388102027277
3500,5.00312997238733,NaN
4000,NaN,6.14348566999986
4500,2.57797829533406,NaN
5000,NaN,4.35056736256058
5500,1.48579762964087,NaN
6000,NaN,3.02671946621017
6500,0.72452194569558,NaN
8000,NaN,1.25702468426164
