timepoint,Glu_Obs,Compound_1_Obs
0,10.3084387567347,11.5588645603785
250,10.9217584211938,NaN
450,NaN,9.30112658282028
500,8.73435622817349,NaN
800,8.44042149480217,NaN
850,NaN,9.03881712246614
1000,8.43646757674734,NaN
1500,4.58566929499812,11.1561359429364
2000,1.20448113080241,10.2751235699086
2500,0.204275087073839,8.59372852359179
3000,NaN,8.66146400102912
3500,0.00968145578255471,NaN
4000,0.00923025461096685,6.51577230199143
4500,NaN,5.513356777736
5000,0.0101610418502779,NaN
6000,NaN,4.7501546161182
7000,NaN,4.46056725185328
8500,NaN,3.31412738061335
