timepoint,Glu_Obs,Compound_1_Obs
0,11.0415949224424,10.4136675035458
400,NaN,9.9208278053212
450,9.79550151508496,NaN
850,9.27443626157677,9.79522512179009
1500,9.24794030688438,10.3974135945005
2000,7.73772298860621,9.81454840705377
2500,8.7806969014796,9.11770346717227
3000,6.65643193436716,9.57910149930108
3500,6.1440191654402,7.46763701464338
4500,3.54377830624399,5.86154456069517
5500,1.79630622637034,3.75758052165929
6500,NaN,2.9849523988808
7000,0.924022209340267,NaN
8000,NaN,1.58193046092442
8500,0.360913136408232,NaN
