timepoint,Glu_Obs,Compound_1_Obs
0,9.4410457483117,10.6501529567729
100,9.88645470457661,NaN
200,9.90657598201768,NaN
350,8.29882022329088,NaN
450,9.27201388376931,10.2197216509486
600,6.44603032418809,NaN
700,4.13409676847645,NaN
900,2.21725351582986,10.765155531831
1000,1.24289868527709,NaN
1500,0.101008064997108,10.6314497991056
2000,0.0147680321415402,7.76525685223739
2500,NaN,7.6939240695833
3000,NaN,7.29912116237512
4000,NaN,4.86943650475839
4500,NaN,5.50174946336139
6000,NaN,4.42597714612454
7000,NaN,3.30486881976007
8500,NaN,3.0552133755246
