timepoint,Glu_Obs,Compound_1_Obs
0,9.33809692510411,10.3690876812213
35,0.0105863425607426,NaN
70,0.0104440917385661,NaN
100,0.0105222205890136,NaN
150,0.0114633647703431,NaN
200,0.00941111992191103,NaN
250,0.00939729680335069,NaN
300,0.00950228884138711,NaN
400,0.0100227581220078,9.09781606015745
800,NaN,10.4913643035266
1000,NaN,8.53678000481018
1500,NaN,8.94014115964425
2000,NaN,8.48786111438923
2500,NaN,7.6174360824884
3500,NaN,9.74240234420453
4000,NaN,8.45240632868366
5000,NaN,7.7076157699956
6000,NaN,8.08126338318186
7000,NaN,6.64527096056567
8500,NaN,6.32897530673887
