timepoint,Glu_Obs,Compound_1_Obs
0,10.3176828712584,10.2073958839028
150,9.77506819673005,NaN
300,9.74148282803101,NaN
400,NaN,10.3794490627782
450,8.12431317671391,NaN
650,7.10006683775835,NaN
800,NaN,10.1741127820341
850,4.2389594572914,NaN
1000,3.54582909275473,9.48740134508224
1500,0.886379125128176,8.83379267057839
2000,0.318046726232418,8.22998703673068
2500,0.0888888741679152,NaN
3000,0.0303702222015994,6.29327600437332
3500,NaN,6.22196159136161
4000,NaN,4.96897677446138
5000,NaN,4.76365187768617
6000,NaN,3.70661039210046
7000,NaN,2.93281910762994
8500,NaN,2.76178728933749
