t,SHP1Act_Obs,STAT5_Obs,CISnRNA5_Obs,SOCS3nRNA4_Obs
0,0.000984505864233046,50.8298330222496,1.11626367334072,0
6.5,NaN,24.6919196809162,1.16564805156256,NaN
9,NaN,NaN,NaN,0.000280824378197595
10,0.332400816356282,NaN,NaN,NaN
15,NaN,32.1200106802907,7.34587412393795,NaN
20,0.556824818491041,24.6267281175072,20.7596451179873,0.000632019012272311
30,NaN,38.3749102093444,106.20384194767,0.000586688759844654
35,0.751046482328697,32.0121774770535,179.697015843116,NaN
40,NaN,NaN,NaN,0.000674965974083845
45,0.527884915099184,33.2690379633634,267.910066175847,NaN
50,NaN,NaN,NaN,0.000493939034045821
55,NaN,37.3707231667915,256.802246245426,NaN
60,0.788240733590183,NaN,NaN,NaN
65,NaN,NaN,261.707737466558,0.000373254291740384
70,0.742502289574723,31.0392239009433,NaN,NaN
80,NaN,NaN,192.605905698619,0.000262264063612123
85,NaN,37.7820455340392,NaN,NaN
90,0.664244999598835,NaN,NaN,NaN
95,NaN,NaN,165.170051211112,0.000265052001015671
100,0.639545269985373,43.2568183063777,130.787408787589,0.000263140126031823
150,0.90658651672814,32.3628671212209,66.2188970756766,0.000119174042486874
200,0.829772883116995,NaN,NaN,NaN
