t,CISnRNA4_Obs,CISnRNA5_Obs,SOCS3nRNA4_Obs
0,0,0.00964587744063288,0
15,0.023962775033693,0.0200368225027558,1.63409304422431e-06
30,0.941319145501896,0.48809549975946,6.74269378918803e-06
45,2.17023283675355,1.84258198984988,6.7214911220165e-06
60,3.7928328454691,3.1774133677498,NaN
65,NaN,NaN,7.16851200694944e-06
75,NaN,4.10136518917352,NaN
80,5.88039248128502,NaN,NaN
85,NaN,NaN,6.66891898053221e-06
95,NaN,3.23339709921494,NaN
100,3.4323479589873,3.7438614544174,6.95420237344224e-06
150,4.25600085640203,3.29070138076391,6.12688791519309e-06
200,3.38016625854389,3.94032704642074,6.06919356736321e-06
250,2.68205058245115,2.76012434026003,5.83511845317925e-06
300,3.46736326895365,3.0760377191831,NaN
