t,SHP1Act_Obs,STAT5_Obs,CISnRNA5_Obs,SOCS3nRNA4_Obs
0,0.000923893234239895,35.2711386026278,0.95188379879201,0
7,NaN,7.01540888788252,NaN,NaN
9.5,NaN,NaN,1.57293511363724,NaN
10,0.140948735862198,NaN,NaN,0.000472359011419875
15,NaN,6.4394785837919,NaN,NaN
20,0.246441724457713,13.1799905889797,45.0547096947453,0.00101251052601753
30,NaN,17.0846743054015,227.791120195437,NaN
35,0.241205948890008,22.0595539437313,NaN,0.000916460431071574
40,NaN,NaN,445.566455092895,NaN
45,0.259699899913102,21.7245325797887,NaN,0.000949036265254895
50,NaN,NaN,412.004156245194,NaN
55,NaN,29.9194345934427,NaN,NaN
60,0.249077314350526,NaN,NaN,0.000658272516683688
65,NaN,NaN,508.456144899056,NaN
70,NaN,32.8551859957477,NaN,NaN
75,NaN,NaN,NaN,0.000529048246890504
80,0.331276205043046,35.6554409962479,482.003277439049,NaN
95,0.279168745049363,45.1844786043793,NaN,0.000317849500788906
100,0.287478291136537,36.8632128449565,274.98177026107,0.000256325122639527
150,0.297870407945728,36.2021009749315,141.927044562034,0.00014726138601799
200,0.222637753801321,NaN,75.9781911293113,NaN
