t,CISnRNA4_Obs,CISnRNA5_Obs,SOCS3nRNA4_Obs
0,0,0.0114709490683793,0
10,NaN,NaN,4.0770792305098e-07
15,0.0306555463299543,0.0149298362063986,NaN
25,NaN,NaN,3.89621894879806e-06
30,0.743200725110903,0.348865275188127,NaN
35,NaN,NaN,5.81585505883769e-06
45,2.35973861312494,2.09159890858404,8.46144470278069e-06
60,3.11978178699854,4.91121487348878,6.47720251741094e-06
75,NaN,NaN,7.4259112028401e-06
80,4.54634952211657,4.042285317104,NaN
95,NaN,NaN,6.88564334033824e-06
100,4.0157923409993,3.39998110195913,7.0506521392314e-06
150,3.41720933064394,3.94290602871327,6.83290533324163e-06
200,3.93702528909839,3.29464870374638,5.1268330158889e-06
250,2.76420499526759,2.84294573668481,5.67963638369771e-06
300,3.25022833087831,2.76744126110005,NaN
