t,SHP1Act_Obs,STAT5_Obs,CISnRNA5_Obs,SOCS3nRNA4_Obs
0,0.000882712377280889,45.6921015031937,1.07197448004224,0
6.5,NaN,31.2971464357644,1.19039570987108,NaN
8.5,NaN,NaN,NaN,0.00020729887705748
9,0.259202552373511,NaN,NaN,NaN
15,NaN,30.7691133526978,6.43719310978116,NaN
20,0.585405650941439,33.8269701831544,32.578557069305,0.00048735743027914
25,NaN,NaN,NaN,0.000571332819702885
30,0.595668452997613,26.7161328917425,107.13186191102,NaN
35,NaN,25.7134235978374,114.315103605354,NaN
40,0.554422085370016,NaN,NaN,0.000587563296464344
45,NaN,42.1378240761505,288.470623600664,NaN
50,0.666519410673192,NaN,NaN,0.000420083419165022
55,NaN,40.9435842707184,259.791370494244,NaN
60,NaN,NaN,NaN,0.000408576488796526
65,0.657174581004457,42.8959686379013,NaN,NaN
70,NaN,NaN,231.429300825859,NaN
80,0.85504288895211,35.835573689674,NaN,0.000283171018277844
85,NaN,NaN,179.646557647014,NaN
95,0.752861818106207,35.0484991978269,NaN,0.000202754327871817
100,0.941279325543752,38.9550088694981,154.528935127041,0.000214011699378092
150,0.705826192960015,41.3524686693767,89.8540448604637,0.000108440882842751
200,0.732433474933613,NaN,NaN,NaN
