t,epo_level,CISnRNA5_Obs
18,2.5e-09,0.461871183253285
18,2.5e-09,0.565129452655352
18,2.5e-09,0.610289707953872
18,2.5e-08,7.53599615179524
18,2.5e-08,10.1205008425332
18,2.5e-08,10.554914980085
18,1.25e-07,31.5636523674226
18,1.25e-07,31.8986394508485
18,1.25e-07,38.3490276660652
18,2.5e-07,37.6044842847221
18,2.5e-07,39.5533673465226
18,2.5e-07,47.7196720233324
18,1.25e-06,49.9602084311967
18,1.25e-06,52.6973872458614
18,1.25e-06,62.1052102204185
18,2.5e-06,46.4204378075266
18,2.5e-06,52.0761691573337
18,2.5e-06,54.0215923518898
