t,SHP1Act_Obs,STAT5_Obs,EpoRJAK2_Obs,p12EpoRpJAK2_Obs
0,0.000789166535373924,33.8200971930037,3.72523426670938,9.647576867023e-05
10,NaN,NaN,2.68124445722344,0.155505281431408
15,NaN,2.47564698784807,NaN,NaN
20,0.226449556043193,NaN,3.55010565097231,NaN
25,NaN,8.7706737513717,NaN,0.0464096151385902
35,NaN,NaN,2.98237361136626,0.028219436411699
40,0.267909363817125,13.6174359139885,NaN,NaN
50,NaN,NaN,2.81704388555647,0.0214876952514615
55,NaN,21.9950026886892,NaN,NaN
60,NaN,NaN,3.34986074112405,NaN
65,0.378667731982169,NaN,NaN,0.0161611832508101
70,NaN,21.6445245198776,NaN,NaN
80,NaN,NaN,3.02321278311928,NaN
85,0.329580662172783,25.4466009152346,NaN,0.0157869632531835
95,NaN,NaN,3.35773002865745,NaN
100,0.337195357875748,40.7960682243598,3.10533223684659,0.0150764033255065
150,0.436438435435994,31.9125321084634,3.52430568777462,0.0102904192198752
200,0.420950182684865,38.0379826054509,2.4638248436568,NaN
250,0.428074125868707,30.6398759707699,NaN,NaN
300,0.355585926812688,NaN,NaN,NaN
350,0.38295685293682,NaN,NaN,NaN
