t,CISnRNA4_Obs,CISnRNA5_Obs,SOCS3nRNA4_Obs
0,0,0.92230872965106,0
10,0.515213111897229,0.936592293502107,NaN
15,NaN,NaN,0.000155655353083073
25,39.9312732965343,19.1632887421203,NaN
35,96.1147141052552,63.255432804842,0.000351954963148353
50,159.538442038842,136.421888291968,NaN
55,NaN,NaN,0.0003269463202359
65,211.072064852401,180.417481320524,NaN
75,NaN,NaN,0.00037560352505582
80,243.92157389625,223.118301138872,NaN
95,190.12869785571,NaN,NaN
100,186.982071254488,202.38371012105,0.000329455700718115
150,129.496691281885,158.55955025301,0.000206329593314767
200,104.0278257991,101.336654300205,0.000210114771207329
250,73.5650016627045,91.4532487693642,0.000176267639872045
300,117.153331093441,126.645315408446,0.00020585874683445
