t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,1.03166098238455,1.09150707312645,0.931719079016768,0.214031105219489
15,NaN,NaN,0.0836129788204936,1.27005857134268
20,0.00237268515636521,-0.0675118113139551,NaN,NaN
30,NaN,NaN,NaN,0.809687955513938
35,NaN,0.0704573422718233,0.0111420577621952,NaN
40,0.0568425914802209,NaN,NaN,NaN
45,NaN,NaN,NaN,1.04729577483123
50,NaN,NaN,0.0282740654341418,NaN
60,NaN,0.0321217995162186,NaN,0.719691218562118
65,0.108768249450816,NaN,NaN,NaN
70,NaN,NaN,0.051996844334088,NaN
80,NaN,-0.0155158197425592,NaN,0.873774350659881
95,-0.0112306745015872,NaN,0.00116217697844929,NaN
100,NaN,-0.00334551941152918,-1.28050168239427e-05,0.175423623197203
150,0.0922609426078503,0.00967140450197558,-0.044467940316497,0.472555619515142
200,NaN,NaN,NaN,0.411227526108248
250,NaN,NaN,NaN,-0.121798503457991
300,NaN,NaN,NaN,0.353723956751417
