timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.00593026636859301,10.2076214096872,-0.552178462065927,-2.72423491973909e-05
35,NaN,0.130043407178246,NaN,NaN
75,NaN,-0.257343657090301,NaN,NaN
100,NaN,-0.257033479121076,NaN,NaN
150,NaN,0.42567796712132,NaN,NaN
200,NaN,0.155096019038178,NaN,NaN
250,NaN,0.0593858219454843,10.6274484272984,NaN
300,0.0508408925152249,NaN,NaN,NaN
350,NaN,0.103482288521466,NaN,NaN
400,NaN,-0.0519114508237565,NaN,0.00275550343067573
550,NaN,NaN,8.57567003840161,NaN
600,0.0163433224839761,NaN,NaN,NaN
800,NaN,NaN,NaN,0.00253539002331699
850,NaN,NaN,8.16311891074688,NaN
900,0.000421084376840922,NaN,NaN,NaN
1000,0.086893773517562,NaN,8.10451162655572,0.00189603070242928
1500,0.127530237315766,NaN,9.74302879465496,0.00264360956049414
2000,0.277405367144362,NaN,9.17946644098672,0.00201571157298362
2500,0.43311862772955,NaN,10.3031274988714,0.00207720215392753
3000,0.453899259843239,NaN,9.6457899594996,NaN
3500,0.46385909636026,NaN,8.27825698795381,0.00177848263993515
4000,0.46784814746499,NaN,NaN,0.00155544249329431
4500,NaN,NaN,7.45466229275814,NaN
5000,0.490976536390002,NaN,9.59449028466327,0.00151695912438182
5500,0.413040986419595,NaN,NaN,0.00121723884954572
6000,NaN,NaN,8.75348025820467,NaN
7000,NaN,NaN,8.36163262848796,0.00108384343112883
8000,NaN,NaN,NaN,0.000756823131241597
