timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,-0.0178009475203854,9.16747980318985,-0.179369427872453,0.0413324925575173
150,NaN,10.7127881648841,NaN,NaN
200,0.103363764796684,NaN,NaN,NaN
300,NaN,10.2750631726611,NaN,NaN
350,0.0118933208499679,NaN,NaN,NaN
400,NaN,NaN,0.959101293987455,NaN
450,NaN,9.14701227288995,NaN,NaN
500,NaN,NaN,NaN,-0.0335908978957139
550,0.0278566558020152,NaN,NaN,NaN
600,NaN,7.96454760910906,NaN,NaN
750,0.136423546452805,7.92373406422015,NaN,NaN
800,NaN,NaN,2.2563978946919,NaN
950,NaN,6.50549554375634,NaN,NaN
1000,0.35441052084429,4.5769392785505,5.41319246193011,0.133027037304226
1500,0.700856529717636,-0.626021179891201,7.25450081710668,0.529714407519982
2000,0.8401622697904,-0.646103751354382,7.86322528963638,0.531889997048785
2500,0.891993087403195,-1.66440081511354,NaN,NaN
3000,NaN,-0.137694300067712,5.37495415343945,0.249611070317668
3500,0.890091029908921,NaN,4.51414631313325,0.253720515581265
4000,NaN,NaN,3.9787339344907,NaN
4500,NaN,NaN,NaN,0.148009131109777
5000,NaN,NaN,3.46857091560062,NaN
5500,NaN,NaN,NaN,0.102928285013491
6000,NaN,NaN,2.87434617438708,NaN
7000,NaN,NaN,2.00494496543531,0.0402873463366022
8500,NaN,NaN,1.56913802728755,0.0592659282401227
