timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.0296268588503414,9.65142407079312,0.125756963626247,0.00304737859205005
150,NaN,8.30070038791877,NaN,NaN
250,NaN,9.41778802368508,NaN,NaN
400,0.0335810505051932,9.3390364921393,-0.231471939148137,NaN
500,NaN,NaN,NaN,0.00283985034921401
550,NaN,8.7801173633993,NaN,NaN
750,0.0431933021226877,9.33166323132862,NaN,NaN
800,NaN,NaN,1.20711607199222,NaN
950,NaN,8.7734475208448,NaN,NaN
1000,0.0163279345138915,9.35478805499533,2.0297716509112,0.0142955025430694
1500,0.124854778132091,6.69105398905165,4.33905029312351,0.12850680340657
2000,0.364662474904893,2.35198640786861,7.61779626072702,0.365089926275084
2500,0.540070377781007,-1.04584098614621,7.16281127205498,NaN
3000,NaN,-0.148217421715254,NaN,0.417067978287314
3500,0.812857941752667,NaN,5.65453630030217,0.302579324253494
4000,0.921785005512151,NaN,4.95929147899532,NaN
4500,NaN,NaN,NaN,0.183204989615472
5000,0.665547653250426,NaN,4.39566272292105,NaN
5500,NaN,NaN,NaN,0.13904434979943
6000,0.86307891275587,NaN,3.31693636462418,NaN
7000,0.86546109009632,NaN,3.30023320826102,0.0592115696320317
8500,0.910599245678482,NaN,1.85828562631065,0.0599695109648632
