timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,-0.0180995234556015,9.81555128303013,-0.444407277626462,0.000125786749067203
30,NaN,-0.0264582793449529,NaN,NaN
65,NaN,-0.200923556596638,NaN,NaN
100,NaN,-0.0244394045744162,NaN,NaN
150,NaN,0.0621743213330006,NaN,NaN
200,NaN,0.0364203422861159,NaN,NaN
250,NaN,0.0381551821043661,NaN,NaN
300,NaN,0.241455018464397,NaN,NaN
350,NaN,-0.0431762912396165,7.99561092605215,NaN
400,0.125277413274883,NaN,NaN,NaN
450,NaN,NaN,NaN,0.00241581849045533
700,NaN,NaN,8.42972485971647,NaN
800,-0.0186912586145446,NaN,NaN,NaN
900,NaN,NaN,NaN,0.00241004748718942
1000,NaN,NaN,7.56088899482902,NaN
1500,0.359272863901346,NaN,8.5679001672637,0.00211389167357682
2000,NaN,NaN,10.1874963103664,0.00222820335311469
2500,0.878203719184963,NaN,7.54336791595972,0.00137862605126989
3000,0.815928047732076,NaN,7.99831882692447,0.00189803022102715
3500,0.852354003660884,NaN,7.84334664201778,NaN
4000,NaN,NaN,6.47954241222745,0.00191659630303933
4500,0.837139313230988,NaN,NaN,0.00150005805480475
5000,NaN,NaN,5.92890513968875,NaN
5500,0.907986310449042,NaN,NaN,0.00137761116457535
6000,NaN,NaN,7.32642276471591,NaN
6500,NaN,NaN,NaN,0.00122784515647538
7000,0.853613272101596,NaN,8.19539368778287,NaN
8000,NaN,NaN,NaN,0.00137945741677365
8500,0.805917357141766,NaN,8.14238868304317,NaN
