t,IPR_R_Obs,IPR_I2_Obs
0,0.990418769812525,0.0460809400528111
0.08,0.0111757786150262,NaN
0.15,0.000520336591229477,NaN
0.25,0.0145366869654618,NaN
0.35,0.0130585433472163,0.196394061417142
0.45,0.0120449541069536,NaN
0.6,-0.000103572390019031,NaN
0.7,NaN,0.275545206442047
0.75,-0.00909349790101131,NaN
0.9,0.00701166109881569,NaN
1,NaN,0.396950289355833
1.5,NaN,0.386488641962222
2,NaN,0.35089646949598
2.5,NaN,0.38874414781193
3,NaN,0.454755215629901
3.5,NaN,0.428047353849387
4,NaN,0.29885179274719
5,NaN,0.377660933127605
6,NaN,0.359487271002908
