t,IPR_R_Obs,IPR_I2_Obs
0,1.01113713808381,-0.0420294419633968
0.095,0.0214849503276819,NaN
0.2,0.00698859564420584,0.18042626499081
0.3,-0.0122498109909415,NaN
0.4,-0.00387321579161465,NaN
0.45,NaN,0.354893617406005
0.55,-0.00489701638303928,NaN
0.7,0.00504816531246863,0.514152219554421
0.85,-0.0268131123700232,NaN
0.95,NaN,0.507633830296897
1,-0.0204416977107619,0.475646220624349
1.5,NaN,0.43792452076811
2,NaN,0.375476453984553
2.5,NaN,0.536872055133938
3,NaN,0.503395670926757
3.5,NaN,0.512161960864122
4,NaN,0.516700969876748
