t,Rec_Obs,IL13_Rec_Obs,p_IL13_Rec_Obs,p_IL13_Rec_i_Obs,JAK2_Obs,STAT5_Obs,pSTAT5_Obs,SOCS3mRNA_Obs,DecoyR_Obs,CD274mRNA_Obs
0,1.70256960513456,1.22558754810169e-06,-0.0241231029851344,0.00876709198306259,2.76920160961811,166.233604354516,-11.4485272667882,212.850345044182,0.338490184360752,-32.7897584424994
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.234852411554105,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.156036434154327,NaN
10,NaN,NaN,NaN,0.105134332766693,0.735325759884617,120.679361827227,NaN,-196.767963569365,NaN,8.64988295977
15,0.958876395443059,NaN,0.0924131548466721,NaN,NaN,NaN,48.2038471372054,NaN,0.0595569748701386,NaN
20,NaN,3.83700204405976e-05,NaN,NaN,NaN,NaN,NaN,NaN,0.0514115719474662,NaN
25,NaN,NaN,0.18599623663683,0.193313340171748,0.0358219663743243,115.735959344031,51.3944807599566,36.2051918889034,-0.00216768763303352,-14.258721789563
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00626403141059743,NaN
35,1.29537510902151,1.58986843413597e-05,NaN,0.0766901037934629,0.273352837005632,120.955793770579,NaN,108.900416994182,-0.00374070281862527,NaN
40,NaN,NaN,0.141935127724387,NaN,NaN,NaN,91.6885147243551,NaN,NaN,-15.9642617976623
45,NaN,NaN,NaN,NaN,0.737722834544256,NaN,NaN,NaN,-0.00154302613393017,NaN
50,NaN,NaN,NaN,0.118619399802652,NaN,86.1293877725901,NaN,633.513702547957,-0.0112524358064743,NaN
55,0.740758592671117,4.08026963233393e-05,0.159094369127701,NaN,NaN,NaN,70.9093588277375,NaN,NaN,54.4321381567952
60,NaN,NaN,NaN,NaN,0.589313848208636,126.039789488825,NaN,NaN,0.00042336628181785,NaN
65,NaN,NaN,NaN,0.179374756770532,NaN,NaN,NaN,-6.87844148620945,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,62.9753242120038,NaN,NaN,83.7893083858136
75,0.711809868961314,2.38741459188687e-05,0.15397284673532,NaN,0.9370712747015,110.333273676703,NaN,NaN,0.0237780419406929,NaN
80,NaN,NaN,NaN,0.183990910738049,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,37.1398358966189,844.498277889716,NaN,114.510536460587
90,NaN,NaN,0.172952256898845,NaN,1.31124765459852,NaN,NaN,NaN,NaN,NaN
95,1.35504468391872,NaN,NaN,0.117582180418865,NaN,100.239242954149,NaN,NaN,NaN,NaN
100,0.942266561510208,6.93149189457725e-05,0.149358646783736,0.228288770411953,1.81923104125315,74.0060724625162,92.2102064098017,938.915829547553,NaN,137.837743345873
150,1.31975029986402,7.05409821794633e-05,0.115810472099005,0.185167290732056,2.11185084589917,96.8971287451189,58.6397185125831,1431.99023567261,NaN,204.226810426185
200,1.44247488759261,7.53389694783119e-05,0.115813260320395,0.17239208226321,2.76559250585586,77.6681530867987,30.7803709900744,1700.4439977121,NaN,166.521578936776
250,1.22322018632526,0.000101185961120382,0.105626696520121,0.161311588504545,3.10344451311905,164.882939422135,34.8609426335155,1850.58844131677,NaN,221.466957729018
300,0.667750004017989,0.000140897186424764,0.0909341752399299,0.146516834344472,NaN,141.307187847745,50.157316545567,1812.30137356053,NaN,289.218385852555
