t,Rec_Obs,IL13_Rec_Obs,p_IL13_Rec_Obs,JAK2_Obs,pJAK2_Obs,STAT5_Obs,SOCS3mRNA_Obs
0,1.27160128580328,-5.41573172195882e-06,0.00931816540036811,2.9280940908436,-0.192554096304488,193.083450200611,234.805076350938
10,1.62637109109607,NaN,0.0295969614978694,2.49042302651659,NaN,NaN,-40.8724609555597
15,NaN,1.53873927272564e-06,NaN,NaN,1.17922929601957,191.474440149183,NaN
20,NaN,NaN,NaN,NaN,NaN,NaN,-131.175754279457
25,1.20878980272162,NaN,0.0377626041396858,0.943191637662255,1.90791467723563,93.1632206451627,NaN
30,NaN,8.61367090232858e-06,NaN,NaN,NaN,NaN,NaN
35,1.49694902028593,NaN,0.0298762485877965,NaN,NaN,NaN,68.4219477993803
40,NaN,NaN,NaN,1.25585147689713,1.15213931308152,95.9205610720677,NaN
45,NaN,9.52655082674888e-06,NaN,NaN,NaN,NaN,287.542607169354
50,1.19593686238532,NaN,0.0311562516473302,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,1.4098694815084,1.2222211282772,112.948266233129,405.143252170777
60,NaN,1.94347985103406e-05,NaN,NaN,NaN,NaN,NaN
65,1.08338816288224,NaN,0.0317420094626944,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,1.75553450607852,1.03581312803954,NaN,441.436798189403
75,NaN,2.03163594466833e-05,NaN,NaN,NaN,86.5321480049191,NaN
80,0.980015097472684,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,0.0270478657890743,1.87410412868751,0.869883548525313,NaN,722.973212616242
90,NaN,NaN,NaN,NaN,NaN,137.471477524255,NaN
95,NaN,1.93222638306604e-05,NaN,NaN,NaN,NaN,NaN
100,1.11664056281814,1.79034254306921e-05,0.0241473734646331,2.77648904540725,0.804285207092259,106.293413638209,740.467893561561
150,0.94596810449352,2.74522869746584e-05,0.0377093576259143,2.52367435962013,0.411411697807877,147.755988603437,891.268639847977
200,0.743979213312486,3.93922194994162e-05,NaN,2.64776746652464,0.51543788844722,150.698928429491,1054.17414918013
250,NaN,6.0809215101178e-05,NaN,3.11753235899973,0.338586830318258,155.378816102862,1180.03399242222
300,NaN,8.5372243874888e-05,NaN,NaN,NaN,191.001468879485,1272.41976703837
