t,Rec_Obs,p_IL13_Rec_i_Obs,JAK2_Obs,pJAK2_Obs,pSTAT5_Obs,SOCS3mRNA_Obs,DecoyR_Obs,Rec_i_Obs
0,1.42393873377907,-0.071996034264458,2.07087106242267,-0.355436518513246,-0.172357357183794,-0.0650512418222111,0.311434372060893,228.43442185703
5,NaN,NaN,NaN,0.0747395483803007,NaN,NaN,NaN,NaN
5.5,NaN,NaN,2.53188482184721,NaN,NaN,NaN,NaN,NaN
6,NaN,0.371685397791692,NaN,NaN,NaN,NaN,NaN,NaN
6.5,1.45641885228268,NaN,NaN,NaN,NaN,0.0592444640033678,0.321446882206197,458.172563251461
7,NaN,NaN,NaN,NaN,-0.042568567245326,NaN,NaN,NaN
10,NaN,NaN,1.86931262390688,-0.0570499699113827,NaN,NaN,NaN,NaN
15,1.3372016123322,-0.733001023913529,NaN,0.140610294070027,0.534574602614212,-0.0770611798108853,0.320874905014967,312.633954655428
20,1.02887495078535,-0.106219168507815,3.17285310050197,0.218237782605143,NaN,-0.427667575940292,0.491527715082061,399.754011053289
25,NaN,NaN,3.83726698796213,NaN,-0.674078556004008,NaN,NaN,NaN
30,0.957818751207969,0.0699144138720788,NaN,-0.0734659590873822,NaN,0.0989533577907828,0.38388411583039,271.610185967683
35,NaN,NaN,3.23996349546112,NaN,0.198285039691904,NaN,NaN,NaN
40,1.22246678824059,-0.0956262670354645,NaN,-0.142650358740884,NaN,-0.0314201562699523,0.306535076372716,342.744378569196
45,NaN,NaN,NaN,0.266076148186096,-0.000992404290953491,NaN,NaN,NaN
50,1.50117312415249,-0.327833386016477,NaN,NaN,NaN,NaN,NaN,214.110132464247
55,NaN,NaN,NaN,NaN,NaN,-0.00252407095860528,NaN,NaN
60,NaN,0.132339831210148,NaN,NaN,0.083091481924427,NaN,NaN,NaN
65,0.834659322761022,NaN,NaN,NaN,NaN,NaN,NaN,218.730854787541
80,0.778847936156828,NaN,NaN,NaN,NaN,NaN,NaN,338.618567508185
