t,JAK2_Obs,pJAK2_Obs,STAT5_Obs,SOCS3mRNA_Obs,CD274mRNA_Obs
0,2.94377668194372,-0.509492098348912,133.053343531163,180.381787309673,-36.935817562166
10,NaN,2.44444532788856,170.281536884331,-185.154842753448,25.5355418326917
15,-0.32040183021669,NaN,NaN,NaN,NaN
20,NaN,2.85218340606777,NaN,NaN,NaN
25,0.556507989511152,NaN,78.5711620122407,194.658553024778,43.3635180626207
35,NaN,2.93299792543507,44.9776905628076,343.629102591329,NaN
40,0.687566376253978,NaN,NaN,NaN,11.4421838661751
45,NaN,2.03600424968432,NaN,NaN,NaN
50,NaN,NaN,79.0716022305609,400.03818055111,58.0353131521085
55,0.66517102979984,NaN,NaN,NaN,NaN
60,NaN,1.82389667612815,NaN,NaN,NaN
65,NaN,NaN,144.098759097051,560.559051200969,NaN
70,0.982736243982677,1.84195180639001,NaN,NaN,28.0737107671015
80,NaN,NaN,123.119543112018,NaN,NaN
85,NaN,NaN,NaN,1193.3616392948,83.3267231606475
90,0.936926702688752,1.88842021441795,NaN,NaN,NaN
100,0.924082280750684,1.45099039275431,132.777832647876,857.38791551053,145.290676528035
150,1.15029393257008,1.47032291321174,107.942677143435,1713.13280769775,171.62294555441
200,1.55527743282307,1.52882220610098,115.08283159603,1881.11026430445,259.682869533126
250,1.76956439226432,1.10244852525595,39.5101522167975,2176.7013837297,280.979254144539
300,NaN,NaN,93.8262006876395,2900.95339435411,338.964339992301
