t,epo_level,SOCS3_Obs
51,2.5e-09,-0.958080957510427
51,2.5e-09,0.863555724704193
51,2.5e-09,1.11411827533183
51,2.5e-08,0.585116696683485
51,2.5e-08,1.46409445448999
51,2.5e-08,1.78428197970352
51,1.25e-07,3.26450821041135
51,1.25e-07,3.40082077064459
51,1.25e-07,4.88821552026136
51,2.5e-07,5.45238600855889
51,2.5e-07,6.59569523035997
51,2.5e-07,7.04217080885182
51,1.25e-06,7.86747267287292
51,1.25e-06,9.60596586096497
51,1.25e-06,12.2618577972586
51,2.5e-06,8.48729929625724
51,2.5e-06,8.96661211588619
51,2.5e-06,9.92427755700401
