t,EpoRpJAK2_Obs,SHP1Act_Obs,pSTAT5_Obs,npSTAT5_Obs,EpoRJAK2_Obs
0,0.00955851428890934,-0.0327452650957933,0.210215214315758,4.11109008626709,3.6265345255474
15,0.0939079438570649,NaN,36.0242714708257,12.177623324677,2.76946890779047
20,NaN,0.0847855722180462,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,6.59055380051378
30,NaN,NaN,17.0183449314174,NaN,NaN
35,0.0565992755250156,NaN,NaN,17.8633992924481,NaN
40,NaN,0.0875571550576794,NaN,NaN,5.30724815467043
45,NaN,NaN,10.4226618084465,NaN,NaN
55,0.04377270479489,NaN,NaN,13.4820190186098,NaN
60,NaN,NaN,NaN,NaN,3.09404757039908
65,NaN,0.221019783149174,10.5974606248026,NaN,NaN
75,0.0621612989306943,NaN,NaN,7.14134091554866,4.58902033580922
85,NaN,NaN,3.8372119530707,NaN,NaN
90,NaN,0.263412981597501,NaN,NaN,NaN
95,0.0578188427716619,NaN,NaN,NaN,NaN
100,0.0319520058635047,0.192368073407228,3.54406137024796,4.97259618927435,2.77709061743266
150,0.0658839560955543,0.289425769821725,5.18609623166015,2.282459184515,5.74852987506863
200,0.0748102489354004,0.273249145569659,2.95328420753614,1.20300865045779,4.04077339395451
250,0.0294451346770613,0.26307403586955,3.95418930904631,1.89748711375181,NaN
300,0.0441813133085104,0.315527301967846,-2.15507612953725,0.25201292074917,NaN
350,NaN,0.38146000648255,NaN,NaN,NaN
450,NaN,0.291227105435395,NaN,NaN,NaN
