t,EpoRpJAK2_Obs,SHP1Act_Obs,SOCS3_Obs
0,0.00609613222441389,0.0394376154824154,97.2327403616353
10,0.0954318597976322,NaN,NaN
15,NaN,-0.00188001236314196,115.673922293745
25,0.0541212184021476,NaN,NaN
35,NaN,0.0235279852927136,104.640481704014
40,0.0297017779289818,NaN,NaN
50,0.035525020851151,0.120013669391126,141.089585409306
70,0.0339769558748536,0.11332425678319,NaN
75,NaN,NaN,103.652083062541
85,0.0264423410294836,NaN,NaN
95,NaN,0.121371412926198,90.8823316361779
100,0.0306061044943018,0.0998172022003048,78.0635301704203
150,0.0524902209432703,0.134611124057377,95.4807707597977
200,0.03349858966205,0.0754561242366422,120.958296742278
250,NaN,0.150518788085534,93.0895023377218
300,NaN,0.122182459142063,65.6901961166269
