t,epo_level,SHP1Act_Obs
6,2.5e-09,-0.0332932430343032
6,2.5e-09,0.0091481847748054
6,2.5e-09,0.0370297725016569
6,7.905e-09,0.00411409996582031
6,1.25e-08,0.0205051074066493
6,1.75e-08,-0.0318773612655174
6,2.5e-08,0.029016424955007
6,3.95e-08,0.014292918935792
6,3.95e-08,0.0143971604180534
6,3.95e-08,0.0267210107928032
6,7.9e-08,0.0364419354404465
6,7.9e-08,0.0386520019547762
6,7.9e-08,0.0521907930900957
6,1.25e-07,0.032428266835577
6,1.7675e-07,0.0396156151627634
6,1.7675e-07,0.0452591426800028
6,1.7675e-07,0.0639283348000926
6,2.5e-07,0.0650155021902096
6,2.5e-07,0.0678131297878027
6,2.5e-07,0.0745995735431358
6,7.905e-07,0.131449107559942
6,2.5e-06,0.20332945077987
6,2.5e-06,0.207336503608818
6,2.5e-06,0.220640456088356
