t,EpoRpJAK2_Obs,SHP1Act_Obs,SOCS3_Obs
0,0.00574429798274927,0.0118363865699155,117.139815092573
15,0.0575411490395881,0.0252367674631639,117.963486709586
25,0.04398500732327,NaN,NaN
30,NaN,0.0551321030093879,102.975153209522
40,0.0481795340207811,NaN,NaN
45,NaN,0.10287822069565,113.462431710041
60,0.0364217237393136,NaN,NaN
65,NaN,0.106968764176436,139.28454982688
75,0.0443913154009908,NaN,NaN
85,NaN,0.0677966008347161,126.911520365711
95,0.0552547102685615,NaN,NaN
100,0.0450938389707138,0.133463502068695,67.8079212243934
150,0.019856933759885,0.0856763262984193,99.273388939376
200,0.0394628863614682,0.11623916645207,71.8072287699356
250,NaN,0.119419267874124,118.361281440912
300,NaN,0.17302777838536,86.2084256637959
