t,EpoRpJAK2_Obs,SHP1Act_Obs,pSTAT5_Obs,npSTAT5_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,0.011537615568588,-0.0109803258232584,0.265793046138209,1.4247366535975,-3.66835496728581e-06,-7.45400087646669e-05,6.12062849809798e-05,-1.23400002526402
20,NaN,NaN,10.5903514802377,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,8.81856757149887,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,0.000655805841556062,1.56156273547348
35,0.0724935198412412,NaN,NaN,NaN,NaN,0.000594743612142909,NaN,NaN
45,NaN,0.120303507528245,5.52480231912429,NaN,0.000494809190314978,NaN,NaN,NaN
50,NaN,NaN,NaN,6.73143596779471,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.17307243002347
65,0.0358764110934579,NaN,NaN,NaN,NaN,NaN,0.000260066066123985,NaN
70,NaN,NaN,2.00788167082039,NaN,NaN,0.00033408585380898,NaN,NaN
75,NaN,NaN,NaN,3.3054866534145,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,0.000147101596503034,NaN,NaN,5.77435031525466
95,NaN,0.343082374274548,1.62209505731423,NaN,NaN,NaN,NaN,NaN
100,0.0581919966128922,NaN,2.52347772090231,3.344074007132,NaN,0.000127771574325601,0.000189416415047193,NaN
150,0.0635100488840108,0.24089464982258,2.34606416339549,1.49426963074852,8.59291531180319e-05,0.000150695555475618,6.6799143617088e-05,4.81868295769044
200,0.0304166846850494,0.443744843369949,0.424448874058243,1.74008522360079,0.000156443136362902,-2.50272240153044e-05,0.000113117708450567,5.94432834414635
250,0.0572943514561527,0.340599160567535,2.12652006554226,1.01077655765647,8.23173379465515e-05,1.92904337517948e-05,2.1992225739706e-06,4.66688058986896
300,0.0432700013277078,NaN,2.71421911468566,NaN,NaN,6.0697822146647e-05,8.26117326494239e-05,4.93696811056027
350,NaN,0.255765710947138,0.705593803658068,1.16141471982303,0.000143727662037457,NaN,6.44304364587197e-05,NaN
400,0.0303411072664414,0.473517473046677,0.242869266928324,0.206224321583386,NaN,5.24328672578627e-05,NaN,3.79596848808486
450,0.0679740454165751,NaN,NaN,NaN,6.43948666354481e-05,0.000105203483253385,9.50305412001701e-05,4.09044214382163
500,NaN,0.36314238739788,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,0.000188179838886288,NaN,NaN,4.35608959242617
600,NaN,0.292414120727235,NaN,NaN,NaN,NaN,NaN,NaN
700,NaN,0.275855648293721,NaN,NaN,NaN,NaN,NaN,NaN
850,NaN,0.261685623128036,NaN,NaN,NaN,NaN,NaN,NaN
