t,SHP1Act_Obs,npSTAT5_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,-0.008758579310701,-0.322900824308865,-8.72488879454727e-07,0.000161394085705133,-2.2722343314211e-05,-0.814908982671261
6,NaN,2.32083514961913,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,0.70622151093955
10,0.0544437652946748,NaN,NaN,0.000276066542808491,0.000199553067915431,NaN
15,NaN,7.52080627435952,0.000341799037488354,NaN,NaN,1.79954698368243
20,NaN,7.27477350393312,NaN,0.000589966036220154,NaN,NaN
25,0.125303255109254,11.4012408093753,NaN,NaN,0.00053082726024249,-0.0913880821843054
30,NaN,NaN,0.000609888681000339,NaN,NaN,NaN
35,0.114191663024833,7.43289357004757,NaN,0.00059692211450011,0.000678097679122015,3.02998524774615
45,NaN,8.51324050917378,0.000430953277301148,0.000522263714674053,NaN,3.7814718501187
50,0.199913285763522,NaN,NaN,NaN,0.000365987868326124,NaN
55,NaN,7.19205109834275,NaN,NaN,NaN,3.64082234403312
60,NaN,NaN,0.000335227508277005,0.000391919228443251,NaN,NaN
65,0.186606401789494,NaN,NaN,NaN,0.000354859022189473,NaN
70,NaN,3.37273701626382,NaN,NaN,NaN,5.05357644069578
75,NaN,NaN,NaN,0.000316837653611896,NaN,NaN
80,0.243201348440054,NaN,0.000258306880189007,NaN,NaN,NaN
85,NaN,4.86615575419865,NaN,NaN,0.000237691013367913,5.80238092233733
95,NaN,NaN,NaN,0.000107400401200328,NaN,NaN
100,0.104014405932581,-1.60167371755063,0.000270760551644056,0.000374074254507815,0.000134588722772502,4.60764703440714
150,0.276563528066603,NaN,0.000194302153534309,5.93988134730327e-05,8.01036848537341e-05,6.52763261888298
200,0.25433829467244,NaN,4.1063774778729e-05,NaN,0.000139188091475431,4.47266719221859
