t,SHP1Act_Obs,npSTAT5_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,0.0470346054084773,1.17952295428721,-1.22026638533982e-05,-3.26232911805359e-05,2.51073676152314e-05,-0.181625986633747
7,NaN,2.42613052854769,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,9.52947662703447e-05,NaN,1.06079126068327
10,0.00359011069176066,NaN,0.000341569306244898,NaN,0.000123766021593998,NaN
15,NaN,6.23581930008365,NaN,0.000180135776422023,NaN,NaN
20,NaN,NaN,0.000413829210206752,NaN,NaN,0.320980693310745
25,0.0864034170603818,5.33864383547053,NaN,0.000339720229923419,0.000440953311773586,1.70937920315812
30,NaN,6.3122855300052,0.000491075201139161,NaN,NaN,NaN
35,NaN,NaN,NaN,0.000348844751080049,0.00036462192784024,1.03485825996715
40,0.432881879762921,3.93176880613067,NaN,NaN,NaN,NaN
45,NaN,NaN,0.000356755520090391,0.000317944836912203,NaN,2.52477805461412
50,NaN,4.40165417340007,NaN,NaN,0.00028254527983433,NaN
55,0.407239576320258,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,0.000260252497092687,0.000195373475352857,NaN,3.90749619750675
65,NaN,2.42572688874549,NaN,NaN,0.000276273515527665,NaN
70,0.357255002065681,NaN,NaN,0.000235903573414787,NaN,NaN
75,NaN,NaN,0.000222305870866594,NaN,NaN,3.78131373160771
80,NaN,0.297984084103393,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,0.000101689190263113,NaN
90,0.303807215114708,NaN,0.000118658427283718,0.000177749951505277,NaN,4.48809506636954
95,NaN,1.67572751136933,NaN,NaN,NaN,NaN
100,0.298219784841713,0.652079034671893,0.000111211716529083,0.000114190470393244,7.11234743775276e-05,2.95668425409066
150,0.426484947914617,2.00521947046419,9.03027505768678e-05,0.000118807372388226,8.25940508737632e-05,3.74798759636303
200,0.52460261435217,NaN,NaN,NaN,7.90146104488403e-05,2.99675860490891
