t,SHP1Act_Obs,npSTAT5_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,-0.0404786932495981,0.555202696978845,-3.55892175146611e-05,-6.0862832879602e-06,-1.4959763642782e-06,0.0317692078624913
7,NaN,3.71659698712056,NaN,NaN,NaN,NaN
9,NaN,NaN,0.000145824025239036,NaN,NaN,-0.0280463121826433
10,0.0775025979643566,NaN,NaN,0.000162926541709918,6.68053745955541e-05,NaN
15,NaN,5.69242204194484,NaN,NaN,NaN,NaN
20,NaN,6.03663503656651,0.000440465747334913,0.000449407366336569,0.00044733652336601,-0.213192297905884
25,0.196600071871941,NaN,0.0004471903448206,NaN,NaN,NaN
30,NaN,5.44149851743651,NaN,0.000454713488984456,NaN,-0.239645737989355
35,0.258819321894579,NaN,NaN,NaN,0.000336985881322669,NaN
40,NaN,3.93462564071436,0.000331451971937512,NaN,NaN,3.4864000081514
45,NaN,NaN,NaN,0.00032638332358235,0.000327631328200119,NaN
50,0.33083446089882,3.64249721010647,0.000386948684495378,NaN,NaN,3.27297519406371
55,NaN,NaN,NaN,0.000256283774431332,NaN,NaN
60,NaN,3.41232937921849,0.000140056099023894,NaN,0.000268052953469647,NaN
65,0.564673882772788,NaN,NaN,NaN,NaN,3.31592867028896
75,NaN,2.89754424462183,0.000145299422212277,0.000171385039652058,0.00014951241014986,NaN
80,0.453150875650597,NaN,NaN,NaN,NaN,2.6215563758983
90,NaN,0.679027536080959,NaN,0.000228266156325901,NaN,NaN
95,NaN,NaN,0.000146078501229791,NaN,0.000194442788562452,3.79238298599244
100,0.405410119749014,1.43085650855493,0.000129257333384885,0.000170030965804907,9.06299517630265e-05,3.66935248671097
150,0.458134881590834,0.179922511137697,0.000131959862597592,7.60124452885246e-05,0.000117807582298244,4.0180653898437
200,0.547187312231083,NaN,NaN,NaN,NaN,3.4415901178366
