t,EpoRpJAK2_Obs,SHP1Act_Obs,SOCS3_Obs
0,0.00628448234839873,-0.0866633814122795,-0.11519990561324
10,0.160498416433075,NaN,NaN
15,NaN,0.189458251064626,-0.0155189612691618
25,0.0779505733204248,NaN,NaN
30,NaN,0.100486679665281,0.458024463861422
40,0.124146871859673,NaN,NaN
45,NaN,0.111153434708589,1.11638720370039
55,0.128851473989343,NaN,NaN
65,NaN,0.175421744824789,1.98763514848401
70,0.106075744843382,NaN,NaN
80,NaN,NaN,2.70572359918762
85,NaN,0.296303978950036,NaN
95,0.0739021031779495,NaN,NaN
100,0.0720669315359983,0.350600473040806,3.40018618548518
150,0.0811629483362272,0.309801284543615,3.36279124799407
200,0.0650071346258114,0.384266733695949,4.18018599820117
250,NaN,0.252737015884119,4.53938089065444
300,NaN,0.347873824995071,4.49960886472229
