t,IRp_Obs,IRiP_Obs,XXp_Obs
0,-5.6719872179634e-08,2.85932733619222e-05,8.29627580175341e-05
1,9.54072877455574e-08,NaN,NaN
1.5,NaN,NaN,0.00285353127329903
2,NaN,9.5210397494376e-05,NaN
2.5,1.22304220761287e-07,NaN,NaN
3.5,1.29722790201369e-07,7.31163888672525e-05,0.00252041936393439
5,1.64396955150355e-07,NaN,0.00537377952869109
6,NaN,0.000171525263016874,NaN
6.5,2.67476723039472e-07,NaN,NaN
7,NaN,NaN,0.0037219010570174
8,2.82175589785641e-07,0.00012435423320702,NaN
9,NaN,NaN,0.00566424293480887
10,2.68566056627059e-07,0.000131054381349837,0.00493887939897949
15,2.7706421991332e-07,0.000140621320480433,0.00473111191442775
20,3.36892356023635e-07,0.000144996224920103,0.00458974306972862
