t,IRp_Obs,IRiP_Obs,XXp_Obs
0,7.07736674296513e-08,-2.04250025910884e-05,0.000966147095928487
3,3.92819800884246e-07,NaN,NaN
4.5,NaN,NaN,0.00496934035276918
5,NaN,0.000161893487227629,NaN
6,2.76253986950323e-07,NaN,NaN
9.5,2.14962799812507e-07,NaN,0.00715479665662868
10,NaN,8.94094889172816e-05,NaN
15,2.59669180668726e-07,0.000135456540825468,0.00623142860388928
20,2.19618129376325e-07,0.000180487286802476,0.00296039511069956
25,1.68981485169335e-07,NaN,NaN
30,1.87045528410305e-07,0.000133368741441987,0.00626319297386323
35,1.72939144715573e-07,0.000121332424964075,0.00622444457359272
45,1.92799280449341e-07,0.000107731819860136,0.00469895318207721
50,1.45903031287445e-07,NaN,NaN
60,2.83822525164031e-07,0.000140251591268993,0.003507301762561
70,NaN,9.14768565721486e-05,0.00478700466127263
